2025-09-03 12:51:08,008 - INFO - INFO - 🚀 Starting Endpoint Security Monitor
2025-09-03 12:51:09,524 - INFO - INFO - ✅ Application initialized successfully. Starting main loop...
2025-09-03 12:51:23,710 - INFO - WARNING - Geo queue full, skipping IP: 142.250.67.68
2025-09-03 12:51:23,711 - INFO - WARNING - Geo queue full, skipping IP: 104.21.23.142
2025-09-03 12:51:23,712 - INFO - WARNING - Geo queue full, skipping IP: 142.250.29.94
2025-09-03 12:51:23,714 - INFO - WARNING - Geo queue full, skipping IP: 13.224.254.89
2025-09-03 12:51:23,715 - INFO - WARNING - Geo queue full, skipping IP: 152.228.215.159
2025-09-03 12:51:23,716 - INFO - WARNING - Geo queue full, skipping IP: 18.172.78.14
2025-09-03 12:51:23,717 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:23,718 - INFO - WARNING - Geo queue full, skipping IP: 34.36.216.150
2025-09-03 12:51:23,719 - INFO - WARNING - Geo queue full, skipping IP: 104.20.23.13
2025-09-03 12:51:23,721 - INFO - WARNING - Geo queue full, skipping IP: 34.36.216.150
2025-09-03 12:51:23,722 - INFO - WARNING - Geo queue full, skipping IP: 185.184.8.90
2025-09-03 12:51:23,724 - INFO - WARNING - Geo queue full, skipping IP: 104.18.21.206
2025-09-03 12:51:23,725 - INFO - WARNING - Geo queue full, skipping IP: 13.227.228.149
2025-09-03 12:51:23,726 - INFO - WARNING - Geo queue full, skipping IP: 18.172.78.10
2025-09-03 12:51:23,727 - INFO - WARNING - Geo queue full, skipping IP: 104.18.27.193
2025-09-03 12:51:23,728 - INFO - WARNING - Geo queue full, skipping IP: 64.120.31.5
2025-09-03 12:51:23,730 - INFO - WARNING - Geo queue full, skipping IP: 69.173.158.64
2025-09-03 12:51:23,731 - INFO - WARNING - Geo queue full, skipping IP: 15.197.193.217
2025-09-03 12:51:23,733 - INFO - WARNING - Geo queue full, skipping IP: 34.160.128.112
2025-09-03 12:51:23,734 - INFO - WARNING - Geo queue full, skipping IP: 104.18.12.250
2025-09-03 12:51:23,736 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.161
2025-09-03 12:51:23,737 - INFO - WARNING - Geo queue full, skipping IP: 13.225.5.41
2025-09-03 12:51:23,737 - INFO - WARNING - Geo queue full, skipping IP: 198.8.71.131
2025-09-03 12:51:23,738 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.42
2025-09-03 12:51:23,741 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.10
2025-09-03 12:51:23,743 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.34
2025-09-03 12:51:23,745 - INFO - WARNING - Geo queue full, skipping IP: 18.67.195.10
2025-09-03 12:51:23,746 - INFO - WARNING - Geo queue full, skipping IP: 18.172.78.78
2025-09-03 12:51:23,748 - INFO - WARNING - Geo queue full, skipping IP: 35.190.80.1
2025-09-03 12:51:23,749 - INFO - WARNING - Geo queue full, skipping IP: 140.82.112.26
2025-09-03 12:51:23,751 - INFO - WARNING - Geo queue full, skipping IP: 162.159.192.1
2025-09-03 12:51:23,753 - INFO - WARNING - Geo queue full, skipping IP: 35.190.80.1
2025-09-03 12:51:23,756 - INFO - WARNING - Geo queue full, skipping IP: 142.250.77.227
2025-09-03 12:51:23,757 - INFO - WARNING - Geo queue full, skipping IP: 104.18.21.206
2025-09-03 12:51:23,760 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.161
2025-09-03 12:51:23,763 - INFO - WARNING - Geo queue full, skipping IP: 172.217.24.74
2025-09-03 12:51:23,764 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.130
2025-09-03 12:51:23,767 - INFO - WARNING - Geo queue full, skipping IP: 142.250.67.68
